,Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,Share
123,2015,Aaron Brooks,23.0,11.6,3.2,2.0,0.7,0.2,0.534,14.4,3.3,-0.8,0.5,25.0,0.61,0.0
124,2015,Amar'e Stoudemire,21.1,11.5,0.8,5.6,0.5,0.6,0.595,20.3,3.6,0.1,0.7,23.8,0.5,0.0
125,2015,Corey Brewer,26.1,11.5,2.2,3.7,1.4,0.2,0.507,13.9,3.1,-1.0,0.5,21.6,0.5,0.0
126,2015,Tim Hardaway Jr.,24.0,11.5,1.8,2.2,0.3,0.2,0.512,12.1,0.8,-2.8,-0.3,23.8,0.207,0.0
127,2015,Ersan İlyasova,22.7,11.5,1.0,4.8,0.6,0.3,0.554,16.8,4.0,1.1,1.0,22.1,0.5,0.0
128,2015,DeAndre Jordan,34.4,11.5,0.7,15.0,1.0,2.2,0.638,21.0,12.8,2.9,3.5,13.6,0.683,0.0
129,2015,O.J. Mayo,23.9,11.4,2.8,2.6,0.8,0.3,0.529,13.5,2.8,-0.6,0.6,23.6,0.5,0.0
130,2015,Jeremy Lin,25.8,11.2,4.6,2.6,1.1,0.4,0.539,15.6,2.7,-0.4,0.8,21.9,0.256,0.0
131,2015,Jodie Meeks,24.4,11.1,1.3,1.7,1.0,0.1,0.548,14.1,3.1,-0.5,0.5,20.1,0.39,0.0
132,2015,Vander Blue,37.0,11.0,4.0,4.5,1.5,0.0,0.342,4.0,-0.2,-9.8,-0.1,23.0,0.256,0.0
133,2015,Nenê,25.3,11.0,1.8,5.1,1.0,0.3,0.534,14.3,3.0,-0.8,0.5,21.8,0.561,0.0
134,2015,Michael Kidd-Gilchrist,28.9,10.9,1.4,7.6,0.5,0.7,0.519,15.1,3.8,-0.5,0.6,18.4,0.402,0.0
135,2015,Anthony Morrow,24.4,10.7,0.8,2.6,0.7,0.1,0.604,14.8,5.7,1.8,1.7,16.5,0.549,0.0
